id,Compound,smiles,CAS_RN,logS,Ref_logS,mp,Ref_mp,logPN,Ref_logP,GSE,diff_logS
SolCbio3-561,Aldicarb,CNC(=O)ON=CC(C)(C)SC,116-06-3,-1.5,10.1016/S0045-6535(02)00118-2,100,10.1016/S0045-6535(02)00118-2,1.13,Kenneth,-1.38,0.12
SolCbio3-562,Benzothiazole,c1ccc2scnc2c1,95-16-9,-1.5,10.1016/S0045-6535(02)00118-2,2,10.1016/S0045-6535(02)00118-2,2.01,Kenneth,-1.28,0.22
SolCbio3-563,p-Methoxybenzaldehyde,COc1ccc(C=O)cc1,123-11-5,-1.49,10.1016/S0045-6535(02)00118-2,-1,10.1016/S0045-6535(02)00118-2,1.76,Kenneth,-1,0.49
SolCbio3-564,"1,1,2-Trichloroethane",ClCC(Cl)Cl,79-00-5,-1.48,10.1016/S0045-6535(02)00118-2,-36,10.1016/S0045-6535(02)00118-2,1.89,Kenneth,-0.78,0.7
SolCbio3-565,1-Chloropropane,CCCCl,540-54-5,-1.47,10.1016/S0045-6535(02)00118-2,-122,10.1016/S0045-6535(02)00118-2,2.04,Kenneth,-0.07,1.4
SolCbio3-566,3-Heptanol,CCCCC(O)CC,589-82-2,-1.47,10.1016/S0045-6535(02)00118-2,-70,10.1016/S0045-6535(02)00118-2,2.24,Kenneth,-0.79,0.68
SolCbio3-567,n-Amyl-carbamate,CCCCCOC(N)=O,638-42-6,-1.47,10.1016/S0045-6535(02)00118-2,94,10.1016/S0045-6535(02)00118-2,1.35,Kenneth,-1.54,0.07
SolCbio3-568,"N,N'-diethylthiourea",CCNC(=S)NCC,105-55-5,-1.46,10.1016/S0045-6535(02)00118-2,76,10.1016/S0045-6535(02)00118-2,0.57,Kenneth,-0.58,0.88
SolCbio3-569,Dimethyldisulfide,CSSC,624-92-0,-1.44,10.1016/S0045-6535(02)00118-2,-85,10.1016/S0045-6535(02)00118-2,1.77,Kenneth,-0.17,1.27
SolCbio3-570,2-Heptanone,CCCCCC(C)=O,110-43-0,-1.42,10.1016/S0045-6535(02)00118-2,-31,10.1016/S0045-6535(02)00118-2,1.98,Kenneth,-0.92,0.5
SolCbio3-571,2-Chloropropane,CC(C)Cl,75-29-6,-1.41,10.1016/S0045-6535(02)00118-2,-117,10.1016/S0045-6535(02)00118-2,1.9,Kenneth,0.02,1.43
SolCbio3-572,2-Chloroacetanilide,CC(=O)Nc1ccccc1Cl,533-17-5,-1.4,10.1016/S0045-6535(02)00118-2,88,10.1016/S0045-6535(02)00118-2,1.28,Kenneth,-1.41,0.01
SolCbio3-573,4-Heptanol,CCCC(O)CCC,589-55-9,-1.4,10.1016/S0045-6535(02)00118-2,-42,10.1016/S0045-6535(02)00118-2,2.22,Kenneth,-1.05,0.35
SolCbio3-574,Phthalic-anhydride,O=C1OC(=O)c2ccccc21,85-44-9,-1.39,10.1016/S0045-6535(02)00118-2,131,10.1016/S0045-6535(02)00118-2,1.6,Kenneth,-2.16,0.77
SolCbio3-575,3-Phenylpropanol,OCCCc1ccccc1,122-97-4,-1.38,10.1016/S0045-6535(02)00118-2,0,10.1016/S0045-6535(02)00118-2,1.88,Kenneth,-1.13,0.25
SolCbio3-576,3-Chloropropylene,C=CCCl,107-05-1,-1.36,10.1016/S0045-6535(02)00118-2,-135,10.1016/S0045-6535(02)00118-2,2.1,PubChem,0,1.36
SolCbio3-577,Chloroethylene,C=CCl,75-01-4,-1.36,10.1016/S0045-6535(02)00118-2,-154,10.1016/S0045-6535(02)00118-2,1.46,PubChem,0.83,2.19
SolCbio3-578,Methylvalerate,CCCCC(=O)OC,624-24-8,-1.36,10.1016/S0045-6535(02)00118-2,-91,10.1016/S0045-6535(02)00118-2,1.96,Kenneth,-0.3,1.06
SolCbio3-579,Diethyl sulfide,CCSCC,352-93-2,-1.34,10.1016/S0045-6535(02)00118-2,-104,10.1016/S0045-6535(02)00118-2,1.95,Kenneth,-0.16,1.18
SolCbio3-580,5-Methyl-2-hexanone,CC(=O)CCC(C)C,110-12-3,-1.33,10.1016/S0045-6535(02)00118-2,-74,10.1016/S0045-6535(02)00118-2,1.88,Kenneth,-0.39,0.94
SolCbio3-581,Acetanilide,CC(=O)Nc1ccccc1,103-84-4,-1.33,10.1016/S0045-6535(02)00118-2,114,10.1016/S0045-6535(02)00118-2,1.16,Kenneth,-1.55,0.22
SolCbio3-582,Thiophene,c1ccsc1,110-02-1,-1.33,10.1016/S0045-6535(02)00118-2,-38,10.1016/S0045-6535(02)00118-2,1.81,Kenneth,-0.68,0.65
SolCbio3-583,"1,2-Dibromoethylene",BrC=CBr,540-49-8,-1.32,10.1016/S0045-6535(02)00118-2,25,10.1016/S0045-6535(02)00118-2,1.76,Kenneth,-1.26,0.06
SolCbio3-584,Veratrole,COc1ccccc1OC,91-16-7,-1.31,10.1016/S0045-6535(02)00118-2,15,10.1016/S0045-6535(02)00118-2,1.6,Kenneth,-1,0.31
SolCbio3-585,"1,2-Dichloroethylene",ClC=CCl,540-59-0,-1.3,10.1016/S0045-6535(02)00118-2,-57,10.1016/S0045-6535(02)00118-2,2,Kenneth,-0.68,0.62
SolCbio3-586,4-Heptanone,CCCC(=O)CCC,123-19-3,-1.3,10.1016/S0045-6535(02)00118-2,-33,10.1016/S0045-6535(02)00118-2,2.04,PubChem,-0.96,0.34
SolCbio3-587,4-Methyoxyacetanilide,COc1ccc(NC(C)=O)cc1,51-66-1,-1.3,10.1016/S0045-6535(02)00118-2,131,10.1016/S0045-6535(02)00118-2,1.03,Kenneth,-1.59,0.29
SolCbio3-588,Caproaldehyde,CCCCCC=O,66-25-1,-1.3,10.1016/S0045-6535(02)00118-2,-56,10.1016/S0045-6535(02)00118-2,1.78,Kenneth,-0.47,0.83
SolCbio3-589,"Cis-1,2-dichloroethylene",Cl/C=C\Cl,156-59-2,-1.3,10.1016/S0045-6535(02)00118-2,-81,10.1016/S0045-6535(02)00118-2,1.98,Kenneth,-0.42,0.88
SolCbio3-590,Diisopropylketone,CC(C)C(=O)C(C)C,565-80-0,-1.3,10.1016/S0045-6535(02)00118-2,-80,10.1016/S0045-6535(02)00118-2,1.86,Kenneth,-0.31,0.99
SolCbio3-591,"1,1-Dichloroethane",CC(Cl)Cl,75-34-3,-1.29,10.1016/S0045-6535(02)00118-2,-97,10.1016/S0045-6535(02)00118-2,1.79,Kenneth,-0.07,1.22
SolCbio3-592,Acetophenone,CC(=O)c1ccccc1,98-86-2,-1.28,10.1016/S0045-6535(02)00118-2,20,10.1016/S0045-6535(02)00118-2,1.58,Kenneth,-1.03,0.25
SolCbio3-593,Butylacetate,CCCCOC(C)=O,123-86-4,-1.24,10.1016/S0045-6535(02)00118-2,-106,10.1016/S0045-6535(02)00118-2,1.78,Kenneth,0.03,1.27
SolCbio3-594,1-Hexanol,CCCCCCO,111-27-3,-1.23,10.1016/S0045-6535(02)00118-2,-52,10.1016/S0045-6535(02)00118-2,2.03,Kenneth,-0.76,0.47
SolCbio3-595,Salbutamol,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,18559-94-9,-1.22,10.1016/S0045-6535(02)00118-2,150,10.1016/S0045-6535(02)00118-2,1.4,Kenneth,-2.15,0.93
SolCbio3-596,Isobutylacetate,CC(=O)OCC(C)C,110-19-0,-1.21,10.1016/S0045-6535(02)00118-2,-99,10.1016/S0045-6535(02)00118-2,1.78,Kenneth,-0.04,1.17
SolCbio3-597,Isobutyl Acrylate,C=CC(=O)OCC(C)C,106-63-8,-1.21,10.1016/S0045-6535(02)00118-2,25,10.1016/S0045-6535(02)00118-2,2.22,Kenneth,-1.72,0.51
SolCbio3-598,p-Methylbenzyl alcohol,Cc1ccc(CO)cc1,589-18-4,-1.2,10.1016/S0045-6535(02)00118-2,60,10.1016/S0045-6535(02)00118-2,1.58,Kenneth,-1.43,0.23
SolCbio3-599,Benzaldehyde,O=Cc1ccccc1,100-52-7,-1.19,10.1016/S0045-6535(02)00118-2,-55,10.1016/S0045-6535(02)00118-2,1.48,Kenneth,-0.18,1.01
SolCbio3-600,Chloroform,ClC(Cl)Cl,67-66-3,-1.17,10.1016/S0045-6535(02)00118-2,-64,10.1016/S0045-6535(02)00118-2,1.97,Kenneth,-0.58,0.59
SolCbio3-601,Dibromomethane,BrCBr,74-95-3,-1.17,10.1016/S0045-6535(02)00118-2,-53,10.1016/S0045-6535(02)00118-2,1.7,Kenneth,-0.42,0.75
SolCbio3-602,Benzoxazole,c1ccc2ocnc2c1,273-53-0,-1.16,10.1016/S0045-6535(02)00118-2,28,10.1016/S0045-6535(02)00118-2,1.59,Kenneth,-1.12,0.04
SolCbio3-603,Bis-(2-chloroethyl)-ether,ClCCOCCCl,111-44-4,-1.12,10.1016/S0045-6535(02)00118-2,-45,10.1016/S0045-6535(02)00118-2,1.29,Kenneth,-0.09,1.03
SolCbio3-604,Diisopropyl ether,CC(C)OC(C)C,108-20-3,-1.1,10.1016/S0045-6535(02)00118-2,-87,10.1016/S0045-6535(02)00118-2,1.52,Kenneth,0.1,1.2
SolCbio3-605,Bromoethane,CCBr,74-96-4,-1.09,10.1016/S0045-6535(02)00118-2,-118,10.1016/S0045-6535(02)00118-2,1.61,Kenneth,0.32,1.41
SolCbio3-606,"1,2-Dichloroethane",ClCCCl,107-06-2,-1.06,10.1016/S0045-6535(02)00118-2,-35,10.1016/S0045-6535(02)00118-2,1.48,Kenneth,-0.38,0.68
SolCbio3-607,Chloroethane,CCCl,75-00-3,-1.06,10.1016/S0045-6535(02)00118-2,-136,10.1016/S0045-6535(02)00118-2,1.43,Kenneth,0.68,1.74
SolCbio3-608,Isophorone,CC1=CC(=O)CC(C)(C)C1,78-59-1,-1.06,10.1016/S0045-6535(02)00118-2,-8,10.1016/S0045-6535(02)00118-2,1.7,Kenneth,-0.87,0.19
SolCbio3-609,Benzonitrile,N#Cc1ccccc1,100-47-0,-1,10.1016/S0045-6535(02)00118-2,-13,10.1016/S0045-6535(02)00118-2,1.56,Kenneth,-0.68,0.32
SolCbio3-610,Iodomethane,CI,74-88-4,-1,10.1016/S0045-6535(02)00118-2,-67,10.1016/S0045-6535(02)00118-2,1.51,Kenneth,-0.09,0.91
SolCbio3-611,Methylisothiocyanate,CN=C=S,556-61-6,-1,10.1016/S0045-6535(02)00118-2,30,10.1016/S0045-6535(02)00118-2,0.94,Kenneth,-0.49,0.51
SolCbio3-612,Methylbutyl ether,CCCCOC,628-28-4,-0.99,10.1016/S0045-6535(02)00118-2,-116,10.1016/S0045-6535(02)00118-2,1.66,Kenneth,0.25,1.24
SolCbio3-613,1-Nitroso-1-ethylurea,CCN(N=O)C(N)=O,759-73-9,-0.96,10.1016/S0045-6535(02)00118-2,103,10.1016/S0045-6535(02)00118-2,0.23,Kenneth,-0.51,0.45
SolCbio3-614,Benzamide,NC(=O)c1ccccc1,55-21-0,-0.96,10.1016/S0045-6535(02)00118-2,129,10.1016/S0045-6535(02)00118-2,0.64,Kenneth,-1.18,0.22
SolCbio3-615,Diethyl succinate,CCOC(=O)CCC(=O)OCC,123-25-1,-0.96,10.1016/S0045-6535(02)00118-2,-20,10.1016/S0045-6535(02)00118-2,1.2,Kenneth,-0.25,0.71
SolCbio3-616,Benzylurea,NC(=O)NCc1ccccc1,538-32-9,-0.95,10.1016/S0045-6535(02)00118-2,148,10.1016/S0045-6535(02)00118-2,0.73,Kenneth,-1.46,0.51
SolCbio3-617,Methane,C,74-82-8,-0.9,10.1016/S0045-6535(02)00118-2,-183,10.1016/S0045-6535(02)00118-2,1.09,Kenneth,1.49,2.39
SolCbio3-618,2-Hexanol,CCCCC(C)O,626-93-7,-0.89,10.1016/S0045-6535(02)00118-2,25,10.1016/S0045-6535(02)00118-2,1.76,Kenneth,-1.26,0.37
SolCbio3-619,Bromochloromethane,ClCBr,74-97-5,-0.89,10.1016/S0045-6535(02)00118-2,-87,10.1016/S0045-6535(02)00118-2,1.41,Kenneth,0.21,1.1
SolCbio3-620,4-Methylcyclohexanol,CC1CCC(O)CC1,589-91-3,-0.88,10.1016/S0045-6535(02)00118-2,-41,10.1016/S0045-6535(02)00118-2,1.79,Kenneth,-0.63,0.25
SolCbio3-621,Methylchloride,CCl,74-87-3,-0.88,10.1016/S0045-6535(02)00118-2,-97,10.1016/S0045-6535(02)00118-2,0.91,Kenneth,0.81,1.69
SolCbio3-622,Salicylaldehyde,O=Cc1ccccc1O,90-02-8,-0.86,10.1016/S0045-6535(02)00118-2,1,10.1016/S0045-6535(02)00118-2,1.81,Kenneth,-1.07,0.21
SolCbio3-623,Bromomethane,CBr,74-83-9,-0.85,10.1016/S0045-6535(02)00118-2,-94,10.1016/S0045-6535(02)00118-2,1.19,Kenneth,0.5,1.35
SolCbio3-624,Ethyl vinyl ether,C=COCC,109-92-2,-0.85,10.1016/S0045-6535(02)00118-2,-116,10.1016/S0045-6535(02)00118-2,1.04,Kenneth,0.87,1.72
SolCbio3-625,Salicin,OCc1ccccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,138-52-3,-0.85,10.1016/S0045-6535(02)00118-2,198,10.1016/S0045-6535(02)00118-2,-1.22,PubChem,-0.01,0.84
SolCbio3-626,Valeraldehyde,CCCCC=O,110-62-3,-0.86,10.1016/S0045-6535(02)00118-2,-92,10.1016/S0045-6535(02)00118-2,1.31,PubChem,0.36,1.22
SolCbio3-627,Furan,c1ccoc1,110-00-9,-0.82,10.1016/S0045-6535(02)00118-2,-86,10.1016/S0045-6535(02)00118-2,1.34,Kenneth,0.27,1.09
SolCbio3-628,Malonic acid diethyl ester,CCOC(=O)CC(=O)OCC,105-53-3,-0.82,10.1016/S0045-6535(02)00118-2,-50,10.1016/S0045-6535(02)00118-2,0.96,Kenneth,0.29,1.11
SolCbio3-629,Methylbutyrate,CCCC(=O)OC,623-42-7,-0.82,10.1016/S0045-6535(02)00118-2,-95,10.1016/S0045-6535(02)00118-2,1.29,Kenneth,0.41,1.23
SolCbio3-630,3-Hexanol,CCCC(O)CC,623-37-0,-0.8,10.1016/S0045-6535(02)00118-2,25,10.1016/S0045-6535(02)00118-2,1.65,Kenneth,-1.15,0.35
SolCbio3-631,4-Methyl-2-pentanol,CC(C)CC(C)O,108-11-2,-1.03,10.1016/S0045-6535(02)00118-2,-90,10.1016/S0045-6535(02)00118-2,1.43,PubChem,0.22,1.25
SolCbio3-632,Methylbutylketone,CCCCC(C)=O,591-78-6,-0.8,10.1016/S0045-6535(02)00118-2,-57,10.1016/S0045-6535(02)00118-2,1.38,Kenneth,-0.06,0.74
SolCbio3-633,Methylmethacrylate,C=C(C)C(=O)OC,80-62-6,-0.8,10.1016/S0045-6535(02)00118-2,-48,10.1016/S0045-6535(02)00118-2,1.38,Kenneth,-0.15,0.65
SolCbio3-634,"1,2-Diethoxyethane",CCOCCOCC,629-14-1,-0.77,10.1016/S0045-6535(02)00118-2,-74,10.1016/S0045-6535(02)00118-2,0.66,Kenneth,0.83,1.6
SolCbio3-635,2-Phenylethanol,OCCc1ccccc1,60-12-8,-0.74,10.1016/S0045-6535(02)00118-2,-14,10.1016/S0045-6535(02)00118-2,1.36,Kenneth,-0.47,0.27
SolCbio3-636,4-Methyl-2-pentanone,CC(=O)CC(C)C,108-10-1,-0.74,10.1016/S0045-6535(02)00118-2,-80,10.1016/S0045-6535(02)00118-2,1.31,Kenneth,0.24,0.98
SolCbio3-637,Dichloromethane,ClCCl,75-09-2,-0.74,10.1016/S0045-6535(02)00118-2,-97,10.1016/S0045-6535(02)00118-2,1.25,Kenneth,0.47,1.21
SolCbio3-638,Dimethoate,CNC(=O)CSP(=S)(OC)OC,60-51-5,-0.74,10.1016/S0045-6535(02)00118-2,52,10.1016/S0045-6535(02)00118-2,0.78,Kenneth,-0.55,0.19
SolCbio3-639,Ethyl acrylate,C=CC(=O)OCC,140-88-5,-0.74,10.1016/S0045-6535(02)00118-2,-72,10.1016/S0045-6535(02)00118-2,1.32,Kenneth,0.15,0.89
SolCbio3-640,"3,3-Dimethyl-2-butanone",CC(=O)C(C)(C)C,75-97-8,-0.73,10.1016/S0045-6535(02)00118-2,-53,10.1016/S0045-6535(02)00118-2,1.2,Kenneth,0.08,0.81
SolCbio3-641,Propyl acetate,CCCOC(C)=O,109-60-4,-0.72,10.1016/S0045-6535(02)00118-2,-96,10.1016/S0045-6535(02)00118-2,1.24,Kenneth,0.47,1.19
SolCbio3-642,2-Imidazolidinethione,S=C1NCCN1,96-45-7,-0.71,10.1016/S0045-6535(02)00118-2,203,10.1016/S0045-6535(02)00118-2,-0.66,Kenneth,-0.62,0.09
SolCbio3-643,2-Phenoxyethanol,OCCOc1ccccc1,122-99-6,-0.7,10.1016/S0045-6535(02)00118-2,14,10.1016/S0045-6535(02)00118-2,1.16,Kenneth,-0.55,0.15
SolCbio3-644,Guaiacol,COc1ccccc1O,90-05-1,-0.68,10.1016/S0045-6535(02)00118-2,28,10.1016/S0045-6535(02)00118-2,1.32,Kenneth,-0.85,0.17
SolCbio3-645,Ethyl propionate,CCOC(=O)CC,105-37-3,-0.66,10.1016/S0045-6535(02)00118-2,-99,10.1016/S0045-6535(02)00118-2,1.21,Kenneth,0.53,1.19
SolCbio3-646,"3,3-Dimethyl-2-butanol",CC(O)C(C)(C)C,464-07-3,-0.62,10.1016/S0045-6535(02)00118-2,5,10.1016/S0045-6535(02)00118-2,1.48,Kenneth,-0.78,0.16
SolCbio3-647,1-Pentanol,CCCCCO,71-41-0,-0.61,10.1016/S0045-6535(02)00118-2,-108,10.1016/S0045-6535(02)00118-2,1.51,Kenneth,0.32,0.93
SolCbio3-648,Isopropylacetate,CC(=O)OC(C)C,108-21-4,-0.6,10.1016/S0045-6535(02)00118-2,-73,10.1016/S0045-6535(02)00118-2,1.02,PubChem,0.46,1.06
SolCbio3-649,Cyclohexanone,O=C1CCCCC1,108-94-1,-0.6,10.1016/S0045-6535(02)00118-2,-47,10.1016/S0045-6535(02)00118-2,0.81,Kenneth,0.41,1.01
SolCbio3-650,Ethanethiol,CCS,75-08-1,-0.6,10.1016/S0045-6535(02)00118-2,-148,10.1016/S0045-6535(02)00118-2,1.5,PubChem,0.73,1.33
SolCbio3-651,Glyceryl triacetate,CC(=O)OCC(COC(C)=O)OC(C)=O,102-76-1,-0.6,10.1016/S0045-6535(02)00118-2,3,10.1016/S0045-6535(02)00118-2,0.25,Kenneth,0.47,1.07
SolCbio3-652,"1,2-Propylene oxide",CC1CO1,75-56-9,-0.59,10.1016/S0045-6535(02)00118-2,-112,10.1016/S0045-6535(02)00118-2,0.03,Kenneth,1.84,2.43
SolCbio3-653,Antipyrene,Cc1cc(=O)n(-c2ccccc2)n1C,60-80-0,-0.56,10.1016/S0045-6535(02)00118-2,111,10.1016/S0045-6535(02)00118-2,0.38,Kenneth,-0.74,0.18
SolCbio3-654,Quinone,O=C1C=CC(=O)C=C1,106-51-4,-0.56,10.1016/S0045-6535(02)00118-2,116,10.1016/S0045-6535(02)00118-2,0.2,Kenneth,-0.61,0.05
SolCbio3-655,Isopentanol,CC(C)CCO,123-51-3,-0.52,10.1016/S0045-6535(02)00118-2,-117,10.1016/S0045-6535(02)00118-2,1.16,Kenneth,0.76,1.28
SolCbio3-656,Propyl formate,CCCOC=O,110-74-7,-0.49,10.1016/S0045-6535(02)00118-2,-93,10.1016/S0045-6535(02)00118-2,0.83,Kenneth,0.85,1.34
SolCbio3-657,2-Methyl-1-butanol,CCC(C)CO,137-32-6,-0.47,10.1016/S0045-6535(02)00118-2,-70,10.1016/S0045-6535(02)00118-2,1.29,Kenneth,0.16,0.63
SolCbio3-658,Dimethylsulfide,CSC,75-18-3,-0.45,10.1016/S0045-6535(02)00118-2,-98,10.1016/S0045-6535(02)00118-2,0.84,PubChem,0.89,1.34
SolCbio3-659,Cyclohexanol,OC1CCCCC1,108-93-0,-0.44,10.1016/S0045-6535(02)00118-2,23,10.1016/S0045-6535(02)00118-2,1.23,Kenneth,-0.71,0.27
SolCbio3-660,Pentaerythritol,OCC(CO)(CO)CO,115-77-5,-0.44,10.1016/S0045-6535(02)00118-2,260,10.1016/S0045-6535(02)00118-2,-1.69,Kenneth,-0.16,0.28
SolCbio3-661,"1,1-Diethoxyethane",CCOC(C)OCC,105-57-7,-0.43,10.1016/S0045-6535(02)00118-2,-100,10.1016/S0045-6535(02)00118-2,0.84,Kenneth,0.91,1.34
SolCbio3-662,2-Butoxyethanol,CCCCOCCO,111-76-2,-0.42,10.1016/S0045-6535(02)00118-2,-74,10.1016/S0045-6535(02)00118-2,0.83,Kenneth,0.66,1.08
SolCbio3-663,Propyne,C#CC,74-99-7,-0.41,10.1016/S0045-6535(02)00118-2,-103,10.1016/S0045-6535(02)00118-2,0.94,Kenneth,0.84,1.25
SolCbio3-664,"2,2-Dimethyl-1-propanol",CC(C)(C)CO,75-84-3,-0.4,10.1016/S0045-6535(02)00118-2,50,10.1016/S0045-6535(02)00118-2,1.31,Kenneth,-1.06,0.66
SolCbio3-665,Ethylene,C=C,74-85-1,-0.4,10.1016/S0045-6535(02)00118-2,-169,10.1016/S0045-6535(02)00118-2,1.13,Kenneth,1.31,1.71
SolCbio3-666,Phenylmethanol,OCc1ccccc1,100-51-6,-0.4,10.1016/S0045-6535(02)00118-2,-15,10.1016/S0045-6535(02)00118-2,1.1,Kenneth,-0.2,0.2
SolCbio3-667,Methylpropyl ether,CCCOC,557-17-5,-0.39,10.1016/S0045-6535(02)00118-2,25,10.1016/S0045-6535(02)00118-2,1.21,Kenneth,-0.71,0.32
SolCbio3-668,2-Pentanol,CCCC(C)O,6032-29-7,-0.29,10.1016/S0045-6535(02)00118-2,-50,10.1016/S0045-6535(02)00118-2,1.19,Kenneth,0.06,0.35
SolCbio3-669,3-Chloropropionitrile,N#CCCCl,542-76-7,-0.29,10.1016/S0045-6535(02)00118-2,-51,10.1016/S0045-6535(02)00118-2,0.18,Kenneth,1.08,1.37
SolCbio3-670,Salicyl alcohol,OCc1ccccc1O,90-01-7,-0.29,10.1016/S0045-6535(02)00118-2,84,10.1016/S0045-6535(02)00118-2,0.73,Kenneth,-0.82,0.53
SolCbio3-671,3-Pentanone,CCC(=O)CC,96-22-0,-0.28,10.1016/S0045-6535(02)00118-2,-39,10.1016/S0045-6535(02)00118-2,0.99,Kenneth,0.15,0.43
SolCbio3-672,Endothall,O=C(O)C1C2CCC(O2)C1C(=O)O,145-73-3,-0.27,10.1016/S0045-6535(02)00118-2,144,10.1016/S0045-6535(02)00118-2,1.91,Kenneth,-2.6,2.33
SolCbio3-673,3-Pentanol,CCC(O)CC,584-02-1,-0.24,10.1016/S0045-6535(02)00118-2,25,10.1016/S0045-6535(02)00118-2,1.21,Kenneth,-0.71,0.47
SolCbio3-674,Methyl-t-butyl ether,COC(C)(C)C,1634-04-4,-0.24,10.1016/S0045-6535(02)00118-2,-109,10.1016/S0045-6535(02)00118-2,0.94,Kenneth,0.9,1.14
SolCbio3-675,Methylacrylate,C=CC(=O)OC,96-33-3,-0.22,10.1016/S0045-6535(02)00118-2,-77,10.1016/S0045-6535(02)00118-2,0.8,Kenneth,0.72,0.94
SolCbio3-676,Trichlorfon,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,52-68-6,-0.22,10.1016/S0045-6535(02)00118-2,83,10.1016/S0045-6535(02)00118-2,0.51,Kenneth,-0.59,0.37
SolCbio3-677,2-Ethyl-2-propanol,CCC(C)(C)O,75-85-4,-0.2,10.1016/S0045-6535(02)00118-2,-12,10.1016/S0045-6535(02)00118-2,0.89,Kenneth,-0.02,0.18
SolCbio3-678,3-Methyl-2-butanol,CC(C)C(C)O,598-75-4,-0.2,10.1016/S0045-6535(02)00118-2,25,10.1016/S0045-6535(02)00118-2,1.28,Kenneth,-0.78,0.58
SolCbio3-679,2-Pentanone,CCCC(C)=O,107-87-9,-0.19,10.1016/S0045-6535(02)00118-2,-78,10.1016/S0045-6535(02)00118-2,0.91,Kenneth,0.62,0.81
SolCbio3-680,Pyrrole,c1cc[nH]c1,109-97-7,-0.17,10.1016/S0045-6535(02)00118-2,-23,10.1016/S0045-6535(02)00118-2,0.75,Kenneth,0.23,0.4
SolCbio3-681,Epichlorohydrin,ClCC1CO1,106-89-8,-0.15,10.1016/S0045-6535(02)00118-2,-57,10.1016/S0045-6535(02)00118-2,0.45,Kenneth,0.87,1.02
SolCbio3-682,Methylpropionate,CCC(=O)OC,554-12-1,-0.14,10.1016/S0045-6535(02)00118-2,-88,10.1016/S0045-6535(02)00118-2,0.84,Kenneth,0.79,0.93
SolCbio3-683,3-Methyl-2-butanone,CC(=O)C(C)C,563-80-4,-0.12,10.1016/S0045-6535(02)00118-2,-92,10.1016/S0045-6535(02)00118-2,0.84,Kenneth,0.83,0.95
SolCbio3-684,"1,3-Dichloro-2-propanol",OC(CCl)CCl,96-23-1,-0.11,10.1016/S0045-6535(02)00118-2,-4,10.1016/S0045-6535(02)00118-2,0.78,PubChem,0.01,0.12
SolCbio3-685,Furfural,O=Cc1ccco1,98-01-1,-0.1,10.1016/S0045-6535(02)00118-2,-37,10.1016/S0045-6535(02)00118-2,0.41,Kenneth,0.71,0.81
SolCbio3-686,Diethyl ether,CCOCC,60-29-7,-0.09,10.1016/S0045-6535(02)00118-2,-116,10.1016/S0045-6535(02)00118-2,0.89,Kenneth,1.02,1.11
SolCbio3-687,Tetrahydropyran,C1CCOCC1,142-68-7,-0.03,10.1016/S0045-6535(02)00118-2,-45,10.1016/S0045-6535(02)00118-2,0.95,Kenneth,0.25,0.28
SolCbio3-688,Ethylacetate,CCOC(C)=O,141-78-6,-0.02,10.1016/S0045-6535(02)00118-2,-84,10.1016/S0045-6535(02)00118-2,0.73,Kenneth,0.86,0.88
SolCbio3-689,Chloroacetamide,NC(=O)CCl,79-07-2,-0.02,10.1016/S0045-6535(02)00118-2,117,10.1016/S0045-6535(02)00118-2,-0.53,Kenneth,0.11,0.13
SolCbio3-690,Butyraldehyde,CCCC=O,123-72-8,-0.01,10.1016/S0045-6535(02)00118-2,-96,10.1016/S0045-6535(02)00118-2,0.88,Kenneth,0.83,0.84
SolCbio3-691,1-Butanol,CCCCO,71-36-3,0,10.1016/S0045-6535(02)00118-2,-90,10.1016/S0045-6535(02)00118-2,0.88,Kenneth,0.77,0.77
SolCbio3-692,Isobutanol,CC(C)CO,78-83-1,0.03,10.1016/S0045-6535(02)00118-2,-108,10.1016/S0045-6535(02)00118-2,0.76,Kenneth,1.07,1.04
SolCbio3-693,Diethyl sulfone,CCS(=O)(=O)CC,597-35-3,0.04,10.1016/S0045-6535(02)00118-2,73,10.1016/S0045-6535(02)00118-2,-0.59,Kenneth,0.61,0.57
SolCbio3-694,d-Mannitol,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,69-65-8,0.07,10.1016/S0045-6535(02)00118-2,168,10.1016/S0045-6535(02)00118-2,-3.1,Kenneth,2.17,2.1
SolCbio3-695,Acrylonitrile,C=CC#N,107-13-1,0.15,10.1016/S0045-6535(02)00118-2,-84,10.1016/S0045-6535(02)00118-2,0.25,Kenneth,1.34,1.19
SolCbio3-696,Ethyl formate,CCOC=O,109-94-4,0.15,10.1016/S0045-6535(02)00118-2,-113,10.1016/S0045-6535(02)00118-2,0.23,Kenneth,1.65,1.5
SolCbio3-697,"2,4-Pentanedione",CC(=O)CC(C)=O,123-54-6,0.22,10.1016/S0045-6535(02)00118-2,-23,10.1016/S0045-6535(02)00118-2,0.4,Kenneth,0.58,0.36
SolCbio3-698,Acetonitrile,CC#N,75-05-8,0.26,10.1016/S0045-6535(02)00118-2,-48,10.1016/S0045-6535(02)00118-2,-0.34,Kenneth,1.57,1.31
SolCbio3-699,Propionitrile,CCC#N,107-12-0,0.28,10.1016/S0045-6535(02)00118-2,-93,10.1016/S0045-6535(02)00118-2,0.16,Kenneth,1.52,1.24
