id,Compound,smiles,CAS_RN,logS,Ref_logS,mp,Ref_mp,logPN,Ref_logP,GSE,diff_logS
SolCbio3-19,"3,3',4,4'-Tetrachlorobiphenyl",Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1Cl,32598-13-3,-8.68,10.1016/S0045-6535(02)00118-2,180,10.1016/S0045-6535(02)00118-2,6.63,Kenneth,-7.68,1
SolCbio3-20,Etofenprox,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,80844-07-1,-8.6,10.1016/S0045-6535(02)00118-2,37,10.1016/S0045-6535(02)00118-2,7.05,Kenneth,-6.67,1.93
SolCbio3-21,"3,3',5,5'-Tetrachlorobiphenyl",Clc1cc(Cl)cc(-c2cc(Cl)cc(Cl)c2)c1,33284-52-5,-8.54,10.1016/S0045-6535(02)00118-2,164,10.1016/S0045-6535(02)00118-2,6.6,Kenneth,-7.49,1.05
SolCbio3-22,Benzo(k)fluoranthene,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,207-08-9,-8.49,10.1016/S0045-6535(02)00118-2,216,10.1016/S0045-6535(02)00118-2,6.11,Kenneth,-7.52,0.97
SolCbio3-23,"2,2',3',4,4',5-Hexachlorodiphenyl ether",Clc1ccc(Oc2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,71585-38-1,-8.44,10.1016/S0045-6535(02)00118-2,79,10.1016/S0045-6535(02)00118-2,6.72,Kenneth,-6.76,1.68
SolCbio3-24,1-Octadecanol,CCCCCCCCCCCCCCCCCCO,112-92-5,-8.4,10.1016/S0045-6535(02)00118-2,61,10.1016/S0045-6535(02)00118-2,8.22,PubChem,-8.08,0.32
SolCbio3-25,"2,2',4,',5,5'-Hexachlorodiphenyl ether",Clc1cc(Cl)c(Oc2cc(Cl)c(Cl)cc2Cl)cc1Cl,71859-30-8,-8.36,10.1016/S0045-6535(02)00118-2,114,10.1016/S0045-6535(02)00118-2,6.72,Kenneth,-7.11,1.25
SolCbio3-26,"2,2',3,4,4',5'-Hexachlorodiphenyl ether",Clc1cc(Cl)c(Oc2ccc(Cl)c(Cl)c2Cl)cc1Cl,71585-36-9,-8.31,10.1016/S0045-6535(02)00118-2,69,10.1016/S0045-6535(02)00118-2,7.01,Kenneth,-6.95,1.36
SolCbio3-27,Benzo(a)pyrene,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,50-32-8,-8.25,10.1016/S0045-6535(02)00118-2,178,10.1016/S0045-6535(02)00118-2,6.13,Kenneth,-7.16,1.09
SolCbio3-28,"2,2',4,4',6,6'-Hexachlorobiphenyl",Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,33979-03-2,-8.2,10.1016/S0045-6535(02)00118-2,113,10.1016/S0045-6535(02)00118-2,7.55,Kenneth,-7.93,0.27
SolCbio3-29,Naphthacene,c1ccc2cc3cc4ccccc4cc3cc2c1,92-24-0,-8.19,10.1016/S0045-6535(02)00118-2,341,10.1016/S0045-6535(02)00118-2,5.76,Kenneth,-8.42,0.23
SolCbio3-30,"2,2',3,3',4,4'-Hexachlorodiphenyl ether",Clc1ccc(Oc2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,71585-39-2,-8.14,10.1016/S0045-6535(02)00118-2,138,10.1016/S0045-6535(02)00118-2,6.82,Kenneth,-7.45,0.69
SolCbio3-31,"2,2',3,4,4',6'-Hexachlorodiphenyl ether",Clc1ccc(Oc2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1,106220-83-1,-8.1,10.1016/S0045-6535(02)00118-2,121,10.1016/S0045-6535(02)00118-2,6.84,Kenneth,-7.3,0.8
SolCbio3-32,"2,2',3,3',6,6'-Hexachlorobiphenyl",Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1Cl,38411-22-2,-8.09,10.1016/S0045-6535(02)00118-2,114,10.1016/S0045-6535(02)00118-2,7.12,Kenneth,-7.51,0.58
SolCbio3-33,Picene,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,213-46-7,-8.05,10.1016/S0045-6535(02)00118-2,366,10.1016/S0045-6535(02)00118-2,7.11,Kenneth,-10.02,1.97
SolCbio3-34,"2,2',4,4',5,6'-Hexachlorodiphenyl ether",Clc1cc(Cl)c(Oc2cc(Cl)c(Cl)cc2Cl)c(Cl)c1,106220-81-9,-8.04,10.1016/S0045-6535(02)00118-2,95,10.1016/S0045-6535(02)00118-2,6.49,Kenneth,-6.69,1.35
SolCbio3-35,Tetradecane,CCCCCCCCCCCCCC,629-59-4,-7.96,10.1016/S0045-6535(02)00118-2,6,10.1016/S0045-6535(02)00118-2,7.2,Kenneth,-6.51,1.45
SolCbio3-36,3-Methylcholanthrene,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,56-49-5,-7.92,10.1016/S0045-6535(02)00118-2,179,10.1016/S0045-6535(02)00118-2,6.42,Kenneth,-7.46,0.46
SolCbio3-37,"2,2',3,3',5',6-Hexachlorobiphenyl",Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,52704-70-8,-7.9,10.1016/S0045-6535(02)00118-2,132,10.1016/S0045-6535(02)00118-2,7.25,Kenneth,-7.82,0.08
SolCbio3-38,"2,3,3',4',5,6-Hexachlorobiphenyl",Clc1ccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl,74472-44-9,-7.83,10.1016/S0045-6535(02)00118-2,122,10.1016/S0045-6535(02)00118-2,7.2,Kenneth,-7.67,0.16
SolCbio3-39,"2,7-Dichlorodibenzo-p-dioxin",Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2,33857-26-0,-7.83,10.1016/S0045-6535(02)00118-2,201,10.1016/S0045-6535(02)00118-2,5.75,Kenneth,-7.01,0.82
SolCbio3-40,"2,3,3',4,4',5-Hexachlorobiphenyl",Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,38380-08-4,-7.82,10.1016/S0045-6535(02)00118-2,129,10.1016/S0045-6535(02)00118-2,7.6,Kenneth,-8.14,0.32
SolCbio3-41,Benzo(e)pyrene,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,192-97-2,-7.8,10.1016/S0045-6535(02)00118-2,178,10.1016/S0045-6535(02)00118-2,6.44,Kenneth,-7.47,0.33
SolCbio3-42,"2,2',3,3',4,4'-Hexachlorobiphenyl",Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,38380-07-3,-7.79,10.1016/S0045-6535(02)00118-2,152,10.1016/S0045-6535(02)00118-2,7.31,Kenneth,-8.08,0.29
SolCbio3-43,"2,2',3,3',4,5-Hexachlorobiphenyl",Clc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1Cl,55215-18-4,-7.79,10.1016/S0045-6535(02)00118-2,101,10.1016/S0045-6535(02)00118-2,7.32,Kenneth,-7.58,0.21
SolCbio3-44,Benzo(b)fluoranthene,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,205-99-2,-7.79,10.1016/S0045-6535(02)00118-2,167,10.1016/S0045-6535(02)00118-2,5.78,Kenneth,-6.7,1.09
SolCbio3-45,"2,3,4,5,6-Pentachlorobiphenyl",Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl,18259-05-7,-7.78,10.1016/S0045-6535(02)00118-2,124,10.1016/S0045-6535(02)00118-2,6.75,Kenneth,-7.24,0.54
