"","SMILES_Solute","Temperature_K","Solvent","SMILES_Solvent","Solubility(mole_fraction)","Solubility(mol/L)","LogS(mol/L)","Compound_Name","CAS","PubChem_CID","FDA_Approved","Source"
"378","CC1(C)C[C@@H]1C(N)=O",294.8,"water","O",0.003744,0.208079275453181,-0.681771173053788,"(S)-(+)-2,2-dimethyl-cyclopropane carbox amide","75885-58-4",10197657,"No","10.1016/s1004-9541(06)60112-2"
"379","ClCc1ccc(Cl)nc1",297.65,"water","O",0.0002646,0.0146500702470553,-1.83416029286377,"2-chloro-5-chloromethylpyridine","70258-18-3",155479,"No","10.1016/s1004-9541(10)60271-6"
"380","Cl.N=C(N=C(N)N)N1CCOCC1",293.15,"water","O",0.065303,3.87123855253389,0.587849934133984,"Moroxydine hydrochloride",NA,137704772,"No","10.1021/acs.jced.0c00015"
"381","N[C@@H](CS)C(=O)O",293.15,"water","O",0.024781,1.4080054101568,0.148604323553771,"L-cysteine","52-90-4",5862,"Yes","10.1021/acs.jced.0c00031"
"382","COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12",298.15,"water","O",0.03983,2.29585705910374,0.3609448452351,"Carvedilol","72956-09-3",2585,"Yes","10.1021/acs.jced.0c00040"
"383","COc1cc([N+](=O)[O-])ccc1N",298.15,"water","O",1.274e-05,0.00070511123124364,-3.15174236768249,"2-methoxy-4-nitroaniline","97-52-9",7337,"No","10.1021/acs.jced.0c00041"
"384","O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O",298.15,"water","O",0.001454,0.0805896002596268,-1.09372099840912,"3,5-dinitrosalicylic acid","609-99-4",11873,"No","10.1021/acs.jced.0c00122"
"385","O=C(O)Cc1ccc([N+](=O)[O-])cc1",298.15,"water","O",0.0002642,0.0146261573198563,-1.83486975958823,"4-nitrophenylacetic acid","104-03-0",4661,"No","10.1021/acs.jced.0c00182"
"386","C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC",298.15,"water","O",3.1e-05,0.00171576509546233,-2.76554217145687,"Etonogestrel","54048-10-1",6917715,"Yes","10.1021/acs.jced.0c00201"
"387","CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1",298.15,"water","O",1.142e-05,0.00063205334627569,-3.19924626504763,"Diphenoxylate","915-30-0",13505,"Yes","10.1021/acs.jced.0c00267"
"388","CC1=NN(c2ccccc2)C(=O)C1",293.15,"water","O",0.000163,0.00903329202138161,-2.04415394999954,"Edaravone","89-25-8",4021,"Yes","10.1021/acs.jced.0c00290"
"389","Nc1cccc(Cl)c1C(=O)O",298.15,"water","O",0.001158,0.0641644439748323,-1.19270556481568,"2-amino-6-chlorobenzoic acid","2148-56-3",75071,"No","10.1021/acs.jced.0c00320"
"390","OCc1ccccc1O[C@@H]1OC(CO)[C@@H](O)[C@@H](O)C1O",293.15,"water","O",0.00252292,0.140148419397922,-0.853411795874665,"D(-)-salicin",NA,NA,"No","10.1021/acs.jced.0c00332"
"391","OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O",293.15,"water","O",0.007965,0.444883639739232,-0.351753564810769,"ß-Arbutin","497-76-7",440936,"No","10.1021/acs.jced.0c00353"
"392","O=C(NCCO[N+](=O)[O-])c1cccnc1",298.15,"water","O",0.0002752,0.0152352868391979,-1.8171493647752,"Nicorandil","65141-46-0",47528,"Yes","10.1021/acs.jced.0c00370"
"393","CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O",298.15,"water","O",1.828e-06,0.00010117184189466,-3.99494034333991,"Tirofiban","144494-65-5",60947,"Yes","10.1021/acs.jced.0c00371"
"394","O=Cc1cc(Br)c(O)c(Br)c1",298.15,"water","O",0.0001311,0.00725675235940167,-2.13925769719962,"3,5-dibromo-4-hydroxybenzaldehyde","2973-77-5",18100,"No","10.1021/acs.jced.0c00376"
"395","Nc1cc(-c2ccncc2)c[nH]c1=O",298.15,"water","O",1.329e-06,7.35543275621942e-05,-4.13339177050828,"Amrinone","60719-84-8",3698,"Yes","10.1021/acs.jced.0c00393"
"396","Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1",298.15,"water","O",9.766e-07,5.40505124027163e-05,-4.26720018454846,"Milrinone","78415-72-2",4197,"Yes","10.1021/acs.jced.0c00394"
"397","O=C1NC(=O)c2cc([N+](=O)[O-])ccc21",298.15,"water","O",0.0003238,0.0179266922566246,-1.74649983688614,"4-nitrophthalimide","89-40-7",6969,"No","10.1021/acs.jced.0c00479"
"398","O=C(O)Cc1ccccc1[N+](=O)[O-]",298.15,"water","O",0.0001408,0.00779375014936324,-2.10825352085435,"2-nitrophenylacetic acid","3740-52-1",77337,"No","10.1021/acs.jced.0c00543"
"399","CCCOC(=O)c1ccc(O)cc1",298.15,"water","O",2.95e-05,0.00163274175455786,-2.78708250077441,"Propylparaben","94-13-3",7175,"No","10.1021/acs.jced.0c00584"
"400","O=C1CC[C@@H](C(=O)N2CSC[C@H]2C(=O)O)N1",298.15,"water","O",0.0027,0.149837533864331,-0.824379383510064,"Pidotimod","121808-62-6",65944,"No","10.1021/acs.jced.0c00616"
"401","O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1",298.15,"water","O",4.08e-07,2.25809917276158e-05,-4.6462569883467,"Diflufenican","83164-33-4",91735,"No","10.1021/acs.jced.0c00631"
"402","CCS(=O)(=O)c1cccnc1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1",298.15,"water","O",4.885e-07,2.70363121248072e-05,-4.56805254842107,"Rimsulfuron","122931-48-0",91779,"No","10.1021/acs.jced.0c00632"
"403","COC(=O)c1c(Cl)nn(C)c1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1",298.15,"water","O",3.807e-07,2.10700571470993e-05,-4.67633428647846,"Halosulfuron-methyl","100784-20-1",91763,"No","10.1021/acs.jced.0c00633"
"404","Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl",298.15,"water","O",0.000286,0.0158333543176862,-1.80042706951274,"4,4'-methylene-bis-(2-chloroaniline)","101-14-4",7543,"No","10.1021/acs.jced.0c00655"
"405","O=Cc1cc(C=O)cc(C=O)c1",298.15,"water","O",0.000108,0.00597796452108418,-2.22344666680478,"1,3,5-triformylbenzene","3163-76-6",2747968,"No","10.1021/acs.jced.0c00776"
"406","O=C(O)[C@@H]1C[C@@H](O)CN1",298.15,"water","O",0.051133,2.9824872946965,0.474578602265279,"L-hydroxyproline","51-35-4",5810,"No","10.1021/acs.jced.0c00794"
"407","CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C",298.15,"water","O",2.7918e-06,0.00015451412496121,-3.81103181324683,"Cyproterone acetate","427-51-0",9880,"Yes","10.1021/acs.jced.0c00803"
"408","CC(=O)NCC(=O)O",298.15,"water","O",0.006373,0.354979444700493,-0.449796794301548,"N-acetylglycine","543-24-8",10972,"No","10.1021/acs.jced.0c00983"
"409","O=C(O)[C@@H]1CSCN1",293.15,"water","O",0.003835,0.213315168862708,-0.670978260729018,"L-thioproline","34592-47-7",93176,"No","10.1021/acs.jced.0c00996"
"410","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O",298.15,"water","O",0.01699163,0.956666349876192,-0.0192395017979116,"Myo-inositol","87-89-8",892,"No","10.1021/acs.jced.0c01067"
"411","N=C(N)NCCC[C@H](N)C(=O)O.O=C1CC[C@@H](C(=O)O)N1",293.15,"water","O",0.1399,9.01273115845439,0.95485641665162,"L-arginine L-pyroglutamate","56265-06-6",198346,"No","10.1021/acs.jced.0c01074"
"412","Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O",298.1,"water","O",0.001903,0.105416207236747,-0.977092613294494,"Doxofylline","69975-86-6",50942,"No","10.1021/acs.jced.0c01088"
"413","CC(=O)N1CCC[C@H]1C(=O)O",293.15,"water","O",0.01884,1.06396836126172,0.0269287137355863,"N-acetyl-L-proline","68-95-1",66141,"No","10.1021/acs.jced.1c00032"
"414","O=C(O)c1ccc(CO)cc1",298.15,"water","O",0.00039,0.0215931840395273,-1.66568331371764,"4-(hydroxymethyl) benzoic acid","3006-96-0",76360,"No","10.1021/acs.jced.1c00035"
"415","CC(=O)Nc1ccccc1[N+](=O)[O-]",298.15,"water","O",0.000249,0.013784473133144,-1.86060982874145,"o-nitroacetanilide","552-32-9",11090,"No","10.1021/acs.jced.1c00037"
"416","O=C(O)CNCc1ccccc1",293.15,"water","O",0.011334,0.635215751817359,-0.19707874099258,"N-benzylglycine","17136-36-6",86965,"No","10.1021/acs.jced.1c00050"
"417","Nc1cccc(S(=O)(=O)c2cccc(N)c2)c1",298.15,"water","O",3.317e-05,0.00183587263611182,-2.7361574513224,"3,3'-diaminodiphenyl sulfone","599-61-1",11741,"No","10.1021/acs.jced.1c00062"
"418","CSCCC(NC(C)=O)C(=O)O",293.15,"water","O",0.008,0.446854323905706,-0.349834035336295,"N-acetyl-DL-methionine","1115-47-5",6180,"No","10.1021/acs.jced.1c00064"
"419","CCCc1cc(=O)[nH]c(=S)[nH]1",298.15,"water","O",0.000145,0.00802626788877726,-2.09548634912795,"Propylthiouracil","51-52-5",657298,"Yes","10.1021/acs.jced.1c00071"
"420","CCOC(=O)[C@@H]1CSCN1.Cl",293.15,"water","O",0.103903,6.42481628359435,0.807860713612368,"Ethyl L-thiazolidine-4-carboxylate hydrochloride","86028-91-3",45357993,"No","10.1021/acs.jced.1c00079"
"421","OCC(CO)(CO)CO",298.15,"water","O",0.00975,0.54493215596445,-0.263657564006559,"Pentaerythritol","115-77-5",8285,"No","10.1021/acs.jced.1c00080"
"422","Cc1c(N)cccc1C(=O)O",298.15,"water","O",0.0006202,0.0343466090108719,-1.46411613372997,"3-amino-2-methylbenzoic acid","52130-17-3",2733699,"No","10.1021/acs.jced.1c00109"
"423","CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)O",293.15,"water","O",0.000204,0.0113059333879299,-1.94669357763582,"Boc-L-proline","15761-39-4",85083,"No","10.1021/acs.jced.1c00201"
"424","CNC(=O)c1cc(Oc2ccc(N)cc2)ccn1",298.15,"water","O",0.000506,0.0280190235876339,-1.55254700316485,"4-[2-(n-methylcarbamyl)-4-pyridyloxy]aniline","284462-37-9",16655129,"No","10.1021/acs.jced.1c00232"
"425","Cl.N[C@@H](Cc1ccccc1)C(=O)OCc1ccccc1",293.15,"water","O",0.001197,0.0664051805898421,-1.17779803789379,"L-phenylalanine benzyl ester hydrochloride","2462-32-0",12636208,"No","10.1021/acs.jced.1c00239"
"426","O=C(N[C@H](C(=O)O)c1ccccc1)OCc1ccccc1",293.15,"water","O",2.4e-05,0.00132987038483261,-2.87619068526981,"N-carbobenzoxy-L-2-phenylglycine","53990-33-3",819214,"No","10.1021/acs.jced.1c00240"
"427","Nc1cccc(C(=O)O)c1",298.15,"water","O",0.0008043,0.0445502539174356,-1.35114981632684,"M-aminobenzoic acid","99-05-8",7419,"No","10.1021/acs.jced.1c00247"
"428","O=C(O)c1cccc([N+](=O)[O-])c1O",298.15,"water","O",0.000214,0.0118464818581917,-1.92641060631455,"3-nitrosalicylic acid","85-38-1",6807,"No","10.1021/acs.jced.1c00259"
"429","COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1",298.15,"water","O",9.293e-06,0.00051433093288302,-3.28875735556142,"Thifensulfuron methyl","79277-27-3",73674,"No","10.1021/acs.jced.1c00267"
"430","CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O",298.15,"water","O",1.307e-06,7.23367223542543e-05,-4.14064117342496,"Ciprofibrate","52214-84-3",2763,"Yes","10.1021/acs.jced.1c00276"
"431","CNc1nc(C)nc(OC)n1",298.15,"water","O",4.731e-06,0.00026184101395718,-3.58196232592815,"2-methyl-4-methylamino-6-methoxy-1,3,5-triazine","5248-39-5",160779,"No","10.1021/acs.jced.1c00288"
"432","CN(C)C(=N)N=C(N)N.Cl",298.15,"water","O",0.04194,2.4228045980304,0.384318389201821,"Metformin hydrochloride","1115-70-4",14219,"No","10.1021/acs.jced.1c00338"
"433","NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1",298.15,"water","O",0.0144245,0.810015893574095,-0.0915064596104752,"Ribavirin(II)","36791-04-5",37542,"Yes","10.1021/acs.jced.1c00345"
"434","COCCOc1ccccc1S(=O)(=O)NC(=O)Nc1nc(OC)nc(OC)n1",298.15,"water","O",0.0006604,0.0365743518701682,-1.43682336121642,"Cinosulfuron","94593-91-6",92420,"No","10.1021/acs.jced.1c00357"
"435","Cn1c([N+](=O)[O-])cnc1N1CCN(S(C)(=O)=O)C1=O",298.2,"water","O",3.207e-06,0.00017730575047694,-3.75127717889482,"Satranidazole","56302-13-7",41841,"No","10.1021/acs.jced.1c00385"
"436","C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC",298.15,"water","O",1.06e-05,0.00058666899970721,-3.23160685981809,"Gestodene","60282-87-3",3033968,"No","10.1021/acs.jced.1c00408"
