"","descs","meanYES","meanNO","diff_m","rsdYES","rsdNO","diff_rsd","welchs_p"
"1","nE",0.00421496311907271,0,0.00421496311907271,0.00210414429448212,0,0.00210414429448212,0.0454430933896011
"2","nG",0.175974710221286,0.0658849804578448,0.110089729763441,0.0269539741702375,0.00758054881553654,0.0279996686393708,8.95736032938982e-05
"3","LipinskiFailures",0.302423603793467,0.144611948632049,0.157811655161418,0.0230552332682259,0.0105606671074152,0.0253588538937775,6.481976781562e-10
"4","nBase",0.185458377239199,0.12786152987158,0.0575968473676191,0.0162429861802536,0.00950636997059411,0.0188203525490285,0.0022473499285926
"5","tpsaEfficiency",0.245781067854984,0.229435222509405,0.0163458453455789,0.00632870270901243,0.0039247436770025,0.00744688464454985,0.0283002089119145
"6","PetitjeanNumber",0.446830463109609,0.437977925636307,0.0088525374733015,0.00269631644435121,0.00212346811461347,0.00343208962614015,0.00996733990927158
"7","MDEC.11",0.345273838230918,0.26414174585836,0.0811320923725583,0.0305770089015454,0.0165105572749122,0.0347498485592865,0.0196868609236824
"8","MDEC.12",1.84391511770391,1.53928470357589,0.304630414128026,0.0792635593750524,0.0435354916853863,0.0904325764373149,0.000774271714471961
"9","MDEC.13",1.79539748733585,1.49329700087046,0.302100486465391,0.112349435215066,0.0552857397415798,0.125215448774973,0.0159633856897291
"10","MDEO.11",0.486653399209279,0.290143334519182,0.196510064690098,0.0309995663559804,0.0140131392631656,0.0340197176100523,9.47049100043552e-09
"11","MDEO.12",0.414567977196824,0.213540283309841,0.201027693886983,0.0308176326836695,0.0115923226337005,0.032925801862208,1.37445361285355e-09
"12","MDEN.12",0.0648808687663735,0.0440612085546203,0.0208196602117532,0.00844956821301463,0.00550241939083773,0.0100832446235849,0.0390905935972524
"13","MDEN.13",0.018492381432397,0.0107847999412073,0.00770758149118969,0.00306296567189179,0.00159751532849925,0.00345453527004394,0.0258209956658405
"14","MDEN.23",0.196476242383064,0.106909452935365,0.0895667894476994,0.0164975802795397,0.00774753618338681,0.018226202895632,9.9845124068753e-07
"15","MDEN.33",0.0554352140725281,0.0307280797744713,0.0247071342980568,0.00698326382068673,0.00338205032749877,0.00775913899908017,0.00148310148904325
"16","khs.dCH2",0.0642781875658588,0.0307091010608599,0.033569086504999,0.00888860225741771,0.00458214376538483,0.010000164577507,0.000808555502423268
"17","khs.sssN",0.277133825079031,0.190396426577331,0.0867373985016995,0.0223678319450917,0.0114741470869644,0.0251391319917207,0.000575942720109079
"18","khs.aasN",0.13277133825079,0.085427135678392,0.0473442025723983,0.0133887678276553,0.00781764186397903,0.015504019745095,0.00229773559601063
"19","khs.aaO",0.0432033719704953,0.022892238972641,0.0203111329978543,0.00709038135080737,0.0037904811769515,0.00803997856046274,0.0116302011797811
"20","khs.ssS",0.083245521601686,0.0418760469011725,0.0413694747005134,0.0106699590182658,0.00535287681424676,0.0119373914922805,0.00054475138072318
"21","HybRatio",-20366019.3977632,-4796166.34339275,15569853.0543705,6759968.40458866,2396072.94967193,7172052.59400588,0.0301352175458655
"22","SC.4",0.096771325028381,0.0663230301529738,0.0304482948754072,0.00822892590440636,0.00320888688928956,0.00883245020413161,0.000585091170684415
"23","C1SP2",1.12118018967334,0.775544388609715,0.345635801063625,0.0474909249014245,0.022876614523712,0.0527136361870366,7.71021349730581e-11
"24","C1SP3",2.26659641728135,1.73422668900056,0.53236972828079,0.0772990617800698,0.0444194159271619,0.089152843271481,2.89702316120319e-09
"25","C4SP3",0.0937829293993678,0.138470128419877,0.0446871990205094,0.0125036761825805,0.0103535625239352,0.0162338589071073,0.00595982188582449
"26","ATSm1",30.7615483158341,25.3408646219409,5.4206836938932,1.07848481841811,0.584140071167315,1.22651910963576,1.05925031750116e-05
"27","MinAbsEStateIndex_rdkit",0.435229529862479,0.379364020793011,0.0558655090694673,0.0241168509678236,0.0100166101937755,0.0261142677549699,0.0326019548749146
"28","MinEStateIndex_rdkit",-0.865673508426791,-0.503563076370348,0.362110432056443,0.0545722542335964,0.0315767461989962,0.0630493602874138,1.10992429285345e-08
"29","qed_rdkit",0.536234607104987,0.598900439406296,0.062665832301309,0.00582359913194456,0.00367146797125341,0.00688432886442281,2.38816202099605e-19
"30","FpDensityMorgan3_rdkit",2.12168979447044,2.17561057342736,0.0539207789569169,0.0180972916720614,0.0121987233698481,0.0218247753188375,0.0135794753468551
"31","BalabanJ_rdkit",2.49284271340823,2.58360344839311,0.0907607349848845,0.0224213503164201,0.0136601251736401,0.0262548275517313,0.000560163099672469
"32","Chi4v_rdkit",2.38427450561464,2.04775694599849,0.336517559616151,0.0736932649697079,0.0501413447589504,0.089133897907202,0.00016485936085816
"33","HallKierAlpha_rdkit",-1.37217453779099,-1.25905632056379,0.113118217227197,0.0442752438927608,0.0235151157421594,0.0501324035941885,0.0241901763836688
